,yea,nay,bill,no. yea
66,"['Bailey', 'Billig', 'Carlyle', 'Cleveland', 'Conway', 'Darneille', 'Das', 'Dhingra', 'Frockt', 'Hasegawa', 'Hobbs', 'Hunt', 'Keiser', 'Kuderer', 'Liias', 'Lovelett', 'Mullet', 'Nguyen', 'Palumbo', 'Pedersen', 'Randall', 'Rivers', 'Rolfes', 'Saldaña', 'Salomon', 'Takko', 'Van De Wege', 'Walsh', 'Warnick', 'Wellman', 'Wilson', 'C.']","['Becker', 'Braun', 'Brown', 'Ericksen', 'Fortunato', 'Hawkins', 'Holy', 'Honeyford', 'King', ""O'Ban"", 'Padden', 'Schoesler', 'Sheldon', 'Short', 'Wagoner', 'Wilson', 'L.', 'Zeiger']",['HB 1066'],32
70,"['Becker', 'Billig', 'Braun', 'Brown', 'Carlyle', 'Cleveland', 'Conway', 'Darneille', 'Das', 'Dhingra', 'Ericksen', 'Fortunato', 'Frockt', 'Hasegawa', 'Hawkins', 'Hobbs', 'Holy', 'Honeyford', 'Hunt', 'Keiser', 'King', 'Kuderer', 'Liias', 'Lovelett', 'Mullet', 'Nguyen', ""O'Ban"", 'Padden', 'Palumbo', 'Pedersen', 'Randall', 'Rivers', 'Rolfes', 'Saldaña', 'Salomon', 'Schoesler', 'Sheldon', 'Short', 'Takko', 'Van De Wege', 'Wagoner', 'Walsh', 'Warnick', 'Wellman', 'Wilson', 'C.', 'Wilson', 'L.', 'Zeiger']",['Bailey'],['HB 1070'],49
74,"['Bailey', 'Billig', 'Braun', 'Carlyle', 'Cleveland', 'Conway', 'Darneille', 'Das', 'Dhingra', 'Frockt', 'Hawkins', 'Hobbs', 'Hunt', 'Keiser', 'King', 'Kuderer', 'Liias', 'Lovelett', 'McCoy', 'Mullet', 'Nguyen', ""O'Ban"", 'Pedersen', 'Randall', 'Rivers', 'Rolfes', 'Saldaña', 'Short', 'Takko', 'Van De Wege', 'Wellman', 'Wilson', 'C.', 'Zeiger']","['Becker', 'Brown', 'Ericksen', 'Fortunato', 'Hasegawa', 'Holy', 'Honeyford', 'Padden', 'Salomon', 'Schoesler', 'Wagoner', 'Warnick']",['EHB 1074'],34
79,"['Appleton', 'Barkis', 'Bergquist', 'Blake', 'Boehnke', 'Caldier', 'Callan', 'Chambers', 'Chapman', 'Chopp', 'Cody', 'Corry', 'Davis', 'Doglio', 'Dolan', 'Duerr', 'Dye', 'Entenman', 'Eslick', 'Fey', 'Fitzgibbon', 'Frame', 'Gildon', 'Goehner', 'Goodman', 'Graham', 'Gregerson', 'Griffey', 'Hansen', 'Harris', 'Hudgins', 'Irwin', 'Jenkin', 'Jinkins', 'Johnson', 'J.', 'Kilduff', 'Kirby', 'Klippert', 'Kloba', 'Kraft', 'Leavitt', 'Lekanoff', 'Lovick', 'Macri', 'Mead', 'Morgan', 'Mosbrucker', 'Orcutt', 'Ormsby', 'Ortiz-Self', 'Orwall', 'Paul', 'Pellicciotti', 'Peterson', 'Pettigrew', 'Pollet', 'Ramel', 'Ramos', 'Riccelli', 'Robinson', 'Rude', 'Ryu', 'Santos', 'Schmick', 'Sells', 'Senn', 'Shewmake', 'Slatter', 'Smith', 'Springer', 'Steele', 'Stokesbary', 'Stonier', 'Sullivan', 'Tarleton', 'Thai', 'Tharinger', 'Valdez', 'Van Werven', 'Walen', 'Wylie', 'Ybarra', 'Young']","['Chandler', 'DeBolt', 'Dent', 'Dufault', 'Hoff', 'Kretz', 'Maycumber', 'McCaslin', 'Shea', 'Sutherland', 'Vick', 'Volz', 'Walsh', 'Wilcox']",['HB 1079'],84
82,"['Appleton', 'Barkis', 'Bergquist', 'Blake', 'Boehnke', 'Caldier', 'Callan', 'Chambers', 'Chandler', 'Chapman', 'Chopp', 'Cody', 'Corry', 'Davis', 'DeBolt', 'Dent', 'Doglio', 'Dolan', 'Dufault', 'Dye', 'Entenman', 'Eslick', 'Fey', 'Fitzgibbon', 'Frame', 'Gildon', 'Goehner', 'Goodman', 'Graham', 'Gregerson', 'Griffey', 'Hansen', 'Harris', 'Hoff', 'Hudgins', 'Irwin', 'Jenkin', 'Jinkins', 'Kilduff', 'Kirby', 'Klippert', 'Kraft', 'Kretz', 'Leavitt', 'Lekanoff', 'Lovick', 'MacEwen', 'Macri', 'Maycumber', 'McCaslin', 'Mead', 'Morgan', 'Mosbrucker', 'Orcutt', 'Ormsby', 'Ortiz-Self', 'Orwall', 'Paul', 'Pellicciotti', 'Peterson', 'Pettigrew', 'Pollet', 'Ramos', 'Reeves', 'Riccelli', 'Robinson', 'Rude', 'Ryu', 'Schmick', 'Sells', 'Senn', 'Shea', 'Shewmake', 'Slatter', 'Smith', 'Springer', 'Stanford', 'Steele', 'Stokesbary', 'Stonier', 'Sullivan', 'Sutherland', 'Tarleton', 'Thai', 'Tharinger', 'Valdez', 'Van Werven', 'Vick', 'Volz', 'Walen', 'Walsh', 'Wilcox', 'Wylie', 'Ybarra']","['Kloba', 'Santos']",['SHB 1082'],94
83,"['Bailey', 'Becker', 'Billig', 'Braun', 'Brown', 'Carlyle', 'Cleveland', 'Conway', 'Darneille', 'Das', 'Dhingra', 'Ericksen', 'Fortunato', 'Frockt', 'Hawkins', 'Hobbs', 'Holy', 'Hunt', 'Keiser', 'King', 'Kuderer', 'Liias', 'Lovelett', 'Mullet', 'Nguyen', ""O'Ban"", 'Palumbo', 'Pedersen', 'Randall', 'Rivers', 'Rolfes', 'Saldaña', 'Salomon', 'Schoesler', 'Sheldon', 'Short', 'Takko', 'Van De Wege', 'Wagoner', 'Walsh', 'Wilson', 'C.', 'Wilson', 'L.', 'Zeiger']","['Hasegawa', 'Honeyford', 'Padden', 'Warnick']",['SHB 1083'],45
87,"['Billig', 'Carlyle', 'Cleveland', 'Conway', 'Darneille', 'Das', 'Dhingra', 'Frockt', 'Hasegawa', 'Hunt', 'Keiser', 'Kuderer', 'Liias', 'Lovelett', 'Nguyen', 'Palumbo', 'Pedersen', 'Randall', 'Rolfes', 'Saldaña', 'Salomon', 'Takko', 'Van De Wege', 'Warnick', 'Wellman', 'Wilson', 'C.']","['Bailey', 'Becker', 'Braun', 'Brown', 'Ericksen', 'Fortunato', 'Hawkins', 'Hobbs', 'Holy', 'Honeyford', 'King', 'Mullet', ""O'Ban"", 'Padden', 'Rivers', 'Schoesler', 'Sheldon', 'Short', 'Wagoner', 'Walsh', 'Wilson', 'L.', 'Zeiger']",['2SHB 1087'],27
89,"['Appleton', 'Barkis', 'Bergquist', 'Blake', 'Boehnke', 'Caldier', 'Callan', 'Chapman', 'Chopp', 'Cody', 'Corry', 'Davis', 'Dent', 'Doglio', 'Dolan', 'Dye', 'Entenman', 'Eslick', 'Fey', 'Fitzgibbon', 'Frame', 'Goodman', 'Gregerson', 'Griffey', 'Hansen', 'Harris', 'Hoff', 'Hudgins', 'Irwin', 'Jinkins', 'Kilduff', 'Kirby', 'Klippert', 'Kloba', 'Kraft', 'Kretz', 'Leavitt', 'Lekanoff', 'Lovick', 'MacEwen', 'Macri', 'Maycumber', 'McCaslin', 'Mead', 'Morgan', 'Morris', 'Mosbrucker', 'Ormsby', 'Ortiz-Self', 'Orwall', 'Paul', 'Pellicciotti', 'Peterson', 'Pettigrew', 'Pollet', 'Ramos', 'Riccelli', 'Robinson', 'Rude', 'Ryu', 'Santos', 'Schmick', 'Sells', 'Senn', 'Shea', 'Shewmake', 'Slatter', 'Smith', 'Springer', 'Stanford', 'Stonier', 'Sullivan', 'Sutherland', 'Tarleton', 'Thai', 'Tharinger', 'Valdez', 'Van Werven', 'Vick', 'Volz', 'Walen', 'Walsh', 'Wylie', 'Young']","['Chambers', 'Chandler', 'DeBolt', 'Dufault', 'Gildon', 'Goehner', 'Graham', 'Jenkin', 'Orcutt', 'Steele', 'Stokesbary', 'Wilcox', 'Ybarra']",['HB 1089'],84
92,"['Bailey', 'Becker', 'Billig', 'Brown', 'Carlyle', 'Cleveland', 'Conway', 'Darneille', 'Das', 'Dhingra', 'Ericksen', 'Fortunato', 'Frockt', 'Hasegawa', 'Hawkins', 'Hobbs', 'Holy', 'Hunt', 'Keiser', 'King', 'Kuderer', 'Liias', 'Lovelett', 'Mullet', 'Nguyen', ""O'Ban"", 'Palumbo', 'Pedersen', 'Randall', 'Rivers', 'Rolfes', 'Saldaña', 'Salomon', 'Short', 'Takko', 'Van De Wege', 'Walsh', 'Warnick', 'Wellman', 'Wilson', 'C.', 'Wilson', 'L.', 'Zeiger']","['Braun', 'Honeyford', 'Padden', 'Schoesler', 'Sheldon', 'Wagoner']",['HB 1092'],44
94,"['Bailey', 'Becker', 'Billig', 'Braun', 'Brown', 'Carlyle', 'Cleveland', 'Darneille', 'Das', 'Dhingra', 'Ericksen', 'Fortunato', 'Frockt', 'Hasegawa', 'Hawkins', 'Hobbs', 'Holy', 'Hunt', 'Keiser', 'King', 'Kuderer', 'Liias', 'Lovelett', 'Mullet', 'Nguyen', ""O'Ban"", 'Padden', 'Palumbo', 'Pedersen', 'Randall', 'Rivers', 'Rolfes', 'Saldaña', 'Salomon', 'Schoesler', 'Short', 'Takko', 'Van De Wege', 'Wagoner', 'Walsh', 'Warnick', 'Wellman', 'Wilson', 'C.', 'Zeiger']",['Honeyford'],['ESHB 1094'],45
